institution,institution_fullname,title,abstract,author,firstname_lastname,year,program,Category,prob_EEE
Guelph,University of Guelph,A Deterministic Discrete Stage-Structured SIR Model with Indirect Transmission.,"In this thesis we propose a deterministic discrete stage-structured SIR model with indirect transmission. We show that the model is well-posed using fundamental Ordinary Differential Equations (ODE) theory. We derive a sufficient but not necessary condition for stability of the disease-free equilibrium (DFE) using Gershgorin's Theorem. We calculate the basicreproduction number using the Next Generation Method. In our numerical simulations, we further explore the stability of the DFE via Gershgorin's Theorem and the eigenvalues of the Jacobian matrix evaluated at the DFE. Additionally, we establish R0 as a sharp criterionfor disease persistence and establish a relationship between the model's transience and the basic reproduction number. We compare the stage-structured SIR model against its non-stage-structured counterpart, demonstrating that the latter gives a more refined description of disease dynamics. We conclude by proposing a model for the spread of Nosema ceranae in the Western honey beewhich includes discrete stage-structure and indirect transmission.","Anderson, Abby.",Abby Anderson,2023,MSc,other,0.37709425841016586
Guelph,University of Guelph,A Framework to Enhance Security and Safety of Deep Learning Models Against Out-of-Distribution Examples.,"In recent years, the realm of deep learning has witnessed remarkable progress, with models rooted in this paradigm surpassing traditional algorithms and, in some instances, human performance across diverse domains, encompassing autonomous navigation, image analysis, and cybersecurity. Historically, the operational premise for these deep learning algorithms was a controlled, adversary-free environment. Yet, an expanding corpus of scholarly work underscores the inherent vulnerabilities of deep learning methodologies when confronted with unpredictable and adversarial perturbations. Much of the discourse surrounding the safety and integrity of deep learning models has been predicated on the generation of adversarial samples within a closed-world paradigm, wherein the adversarial instances adhere to a distribution analogous to the training dataset. However, it is imperative to recognize that many real-world deployments of deep learning operate in open-world settings, where models frequently encounter inputs drawn from distributions distinct from their training data, termed Out-Of-Distribution (OOD) samples. This research endeavour seeks to rigorously explore the ramifications of adversarial scenarios, particularly those emanating from OOD sources. The proposed framework aims to: (1) discern OOD inputs and adversarial perturbations targeting deep learning architectures; (2) craft adversarial instances derived from OOD samples capable of evading deep learning defences, thereby delineating the susceptibility landscape of deep learning to OOD perturbations; and (3) introduce a refined deep learning architecture exhibiting enhanced resilience to OOD perturbations. In order to evaluate the performance of the proposed framework, it has been assessed against a set of state-of-the-art deep learning models trained on benchmark datasets. Various evaluation metrics including Accuracy, Area-Under-Curve, Detection Rate and TPR@FPR are employed to assess the proposed framework performance. The conducted experiments demonstrated its usefulness for designed research objectives and promised the deep learning model's trustworthiness enhancement. Our proposed framework offers the deep learning research community a systematic mechanism to ascertain the vulnerabilities of their trained architectures to both OOD and adversarial instances. Furthermore, the advanced protective model we propose augments the defence mechanisms of deep learning systems against detected OOD adversarial strategies, thereby diminishing the likelihood of successful OOD perturbations.","Azmoodeh, Amin.",Amin Azmoodeh,2024,PhD,other,0.22521577319958852
Guelph,University of Guelph,A Holistic Investigation of Johne's Disease Control on Ontario Dairy Farms through Quantitative and Qualitative Methods.,"This thesis presents a holistic investigation of Johne's disease (JD) management and control. Follow up risk assessment and management plans (RAMPs) were conducted on 180 Ontario dairy farms. From this, the changes in management practices that occurred on study farms since the end of the Ontario Johne's Education and Management Assistance Program (OJEMAP), were described. This information from the follow-up RAMPs, along with the results of province-wide bulk tank (BT) milk enzyme-linked immunosorbent assays (ELISA) were used in developing logistic regression models that described the odds of successful JD control using the RAMP results as predictors. Repeat ELISA test results from 1,197 cows from a previously completed longitudinal study were used in random forest models to generate a predictive algorithm that classified milk testing results as positive or negative. Finally using 20 in-depth interviews with Ontario dairy producers, we explored the motivations and barriers producers experience with regards JD control and farm biosecurity. The provincial BT ELISA results demonstrated that the prevalence of JD positive BT's increased from 46.8 to 71.4% in a 4 year period. Along with this, many changes to the management practices had occurred on Ontario dairy farms since the end of the OJEMAP in 2013. Notably, many producers had decreased their risk of JD through cattle additions. The resulting logistic regression models suggested that management of the calving area and calving practices were significantly associated with JD control. Specifically, farms were more likely to have BT positive results when they calved multiple cows in the maternity pen at the same time and less likely to have BT positive results when they calved their cows outside of dedicated maternity areas. The random forest algorithms were able to predict which test results would be positive for JD using the milk testing data and history of JD testing. The model was able to correctly classify over 80% of the tests within its top 25% of predictions. Unsurprisingly, interest in JD control had diminished since the end of the OJEMAP. Without evidence of clinical signs, and no financial support for diagnostic testing, few producers believed it was an issue they needed to pursue.","Imada, Jamie.",Jamie Imada,2022,PhD,other,0.38387916606329986
Guelph,University of Guelph,"A Low-Cost, High-Throughput Phenotyping System for the Simulation of Drought Conditions and Measurement of Growth, Yield and Water Use Traits in Soybean (Glycine max L. Merr.).","Drought tolerance research using large plant populations may benefit from high-throughput phenotyping systems which allow for accurate measurement of daily single-plant water use. In this work, we identify and optimize a soil mix as part of a passive, bottom-watered pot culture system for soybean (Glycine max (L.) Merr.), which can induce varying but consistent levels of drought stress via adjustment of pot-specific water tables. The soil media within the pot wicks water upwards to maintain soil moisture equilibrium through the rooting column over an entire growth cycle, even as the roots take up water. Plants remained healthy throughout the growth cycle and treatments produce significant differences in water use, growth and yield traits. This system can also be adapted to large-population phenotypic screenings, including Genome-Wide Association Studies. Such a system would greatly improve the feasibility of measuring growth and yield traits in large plant populations grown to maturity.","Cichello, Alex.",Alex Cichello,2023,MSc,EEE,0.5909007233406454
Guelph,University of Guelph,"A Mathematical Exploration of Neural Networks Using Sparsity, Entropy, and Multi-Valued Neurons.","Artificial neural networks (ANN) are a major component of the artificial intelligence (AI) community that were designed based on the present understanding of their counterpart: the biological neuron. ANNs involve many different disciplines including mathematics, statistics, computer science, and engineering. The complexity of the different constructions of neural networks makes analytical mathematical work next to impossible and as a result computation and simulation are the methods used to study them. Our mathematical work focusses on two aspects. First, performance improvements through the inclusion of (generally small) perturbation terms, mathematically linked to the notions of sparsity and entropy, to the cost or objective function of the network. The formulation naturally fits in the realm of multicriteria decision making and is practically linked to overfitting. Overfitting is a common problem that is faced when dealing with neural networks, especially as computers continue to get more powerful, and we have the capability to train larger networks with many free parameters. As a result there is a pressing need to develop and explore different techniques to reduce overfitting. Loosely speaking, the thesis work suggests that the inclusion of either a sparsity criterion or an entropy criterion gives performance improvement, and the inclusion of both criteria gives a further improvement. Second, multi-valued neurons, particularly mathematical formulations in which the neurons are vector-valued, interval-valued, or convex-set-valued, are explored. Some potential applications are discussed and examples are explored.","Boreland, Bryson.",Bryson Boreland,2023,PhD,other,0.1945562269741805
Guelph,University of Guelph,A Membrane Photosensor Related to Proteorhodopsin with Unique Motifs for Signal Transduction.,"Microbial rhodopsins are light-activated retinal-binding membrane proteins, performing a variety of ion transporting and photosensory functions in prokaryotic and eukaryotic cells. They display several cases of convergent evolution, where the same function is produced by unrelated or very distant protein groups. For example, both schizorhodopsins and xenorhodopsins are inward proton pumps, while halorhodopsins and NTQ-rhodopsins are inward chloride pumps. Here we present another possible case of such convergent evolution, describing biophysical properties of a new group of sensory rhodopsins, not related to the well-known haloarchaeal ones. The first representative of this group was identified in 2004 (by Kyndt, Meyer, and Cusanovich) but none of the members had been expressed and characterized.The well-studied haloarchaeal sensory rhodopsins interacting with membrane-embedded methyl-accepting Htr transducers are close relatives of halobacterial proton pump bacteriorhodopsin and have been studied extensively. In contrast, the new group of sensory rhodopsins we describe here is a relative of proteobacterial proton pumps, proteorhodopsins, but appear to interact with Htr-like transducers likewise. This interaction is likely to occur through an unknown mechanism, as they do not conserve the residues found important for interaction of haloarchaeal sensory rhodopsins and their cognate transducers. Moreover, the new sensory rhodopsins have unique structural motifs and many unusual amino acid residues, including those around the retinal chromophore, most strikingly, a tyrosine in place of a carboxyl counterion of the retinal Schiff base on helix C. We describe spectroscopic properties and molecular dynamics simulations of these sensory rhodopsins, which report on their unique structure and hydrogen-bonded networks, their unusual retinal chromophore, and probe their interactions with the transducers. To characterize their unique sequence motifs, we augment the spectroscopy and biochemistry data by structural modeling of the wild type and three mutants. Taken together, the experimental data, bioinformatics sequence analyses, and structural modeling suggest that the tyrosine/aspartate complex counterion contributes to a complex water-mediated hydrogen-bond network that couples the protonated retinal Schiff base to an extracellular carboxylic dyad.","Saliminasab, Maryam.",Maryam Saliminasab,2023,PhD,other,0.24094074228593543
Guelph,University of Guelph,A Mixed Methods Approach to Understanding Horse Owners' Perceptions and Practices of Biosecurity.,"The main objective of this thesis was to investigate the perceptions and adoption of biosecurity measures at Ontario equine facilities. This research utilized a mixed-methods approach, starting with thematic analysis of semi-structured interviews with horse owners/leasers to identify perceptions and attitudes towards biosecurity. From these interviews, three key themes were identified: risk perception dictates choice of prevention and reaction, social pressure influences behaviour, and shifting biosecurity responsibility to others. Following the interviews, a cross-sectional questionnaire was administered, resulting in 425 respondents. Following data cleaning, 271 participants were included in the final analysis, which indicated that more than half of participants had a biosecurity plan in place at their facility, and regular vaccination practices were common. This thesis has offered valuable insights into potential factors that impact the adoption of biosecurity measures within equine facilities in Ontario, while also highlighting promising directions for future research.","Germann, Juliet.",Juliet Germann,2023,MSc,other,0.16935664490560676
Guelph,University of Guelph,A Model to Investigate the Factors Influencing the Decision of Adopting Cloud-based Big Data Analytics in Higher Education.,"Cloud-based Big Data Analytics (CBDA) is an emerging application of data analytics, and its successful adoption in the higher education sector leads to valuable outcomes that improve teaching, learning, research and policy-making. Yet, accepting and using CBDA as a promising innovation for informed decision-making in this sector is falling behind. Like any innovation, CBDA's full capabilities can be reached only once the factors that facilitate or hinder its adoption are identified. This research proposes a CBDA adoption framework, based on a thorough literature review of cloud computing adoption by organizations. All technical and non-technical factors that affect the adoption of cloud technologies have been identified and classified according to the T.O.E. theoretical framework, which has been found to be the most suitable framework for this research. The context of Saudi Arabian universities has been chosen to empirically test and validate the proposed model, while solving a practical problem associated with the government's efforts to shift the higher education sector to the cloud service paradigm. The government aims to cut costs and improve education policy, which has become more demanding during the recent COVID-19 pandemic. The results from this study indicate that top management support, a non-technical factor, is the main driver for CBDA adoption among Saudi universities, and that relative advantage is not the main predictor of CBDA adoption, which is contradictory to much of the literature. As a result of these investigations, suggestions were identified for future research, and recommendations were laid out to support decision makers toward successful CBDA adoption.","Hadwer, Ali.",Ali Hadwer,2022,PhD,other,0.20637266198965665
Guelph,University of Guelph,A Molecular-Level Investigation of Structural Changes in Soil Organic Matter from Manure Amended Soils.,"Soil organic matter (SOM) is crucial for arable soil functionality, particularly influencing plant nutrient availability through its composition and structure, mainly consisting of humic substances (HS) like humic acids (HA), fulvic acids, and humin, classified by their solubility in acid and alkali. This dissertation examines how long-term applications of Liquid Swine Manure (LSM), Solid Swine Manure (SSM), and Composted Swine Manure (SMC) to calcareous soil alter HA structure, and how these changes affect nutrient availability. Using molecular spectroscopic techniques such as Nuclear Magnetic Resonance (NMR) spectroscopy and fluorescence spectroscopy, and potentiometric titration, this study probes changes in molecular environments within SOM and their impact on SOM functionality. NMR techniques like solid-state 13C cross polarization/direct polarization with magic angle spinning identified molecular structures in HA from manure-amended soils, assessing their degree of humification and stability. Solution-state two-dimensional 1H-13C Hetero Nuclear Single Quantum Coherence (HSQC) NMR provided insights into the chemical environments of carboxylic acid functional groups, crucial for understanding HA's nutrient binding capacity under various pH levels. Fluorescence spectroscopy detailed molecular conformation changes, and fluorescence quenching experiments explored metal binding interactions influenced by pH changes. Potentiometric titration evaluated the charge characteristics of HAs, revealing that SMC-derived HA contain stronger acid sites and a higher buffering capacity than those from LSM and SSM-treated soils. Two-dimensional NMR showed that HA from soils treated with LSM and SMC primarily consist of carboxylic rich aliphatic molecules, whereas HA from SSM-treated soils predominantly features rigid, lignin-like structures. These structural differences suggest varied nutrient solubilization mechanisms and soil-water interface mobility. LSM HA exhibits dynamic pH-responsive conformational changes, enhancing its cation binding capacity. Conversely, SMC HA maintains stable binding across pH levels, with its high proton neutralization capacity correlating with significant phenolic content, influencing buffering intensity. This dissertation elucidates the diverse organic structures in HA from manure-amended soils, their physical properties, and chemical reactivity, providing molecular-level insights into SOM's structural changes and their impact on nutrient availability. This research highlights the various mechanisms through which organic amendments influence nutrient dynamics, including enhancement of ternary complex formation and facilitation of nutrient solubility through various chemical interactions.","Mohammed, Ibrahim.",Ibrahim Mohammed,2024,PhD,other,0.389325695367549
Guelph,University of Guelph,A Multi-disciplinary Approach Towards Improving Surplus Calf Care on Dairy Farms.,"This thesis was conducted to determine how neonatal calf care practices are employed on dairy farms and explore strategies that could be used to motivate improvements. Additionally, we aimed to understand in which circumstances benchmarking could motivate dairy producers to adopt better care practices for surplus and replacement calves.First, a qualitative focus group study explored producer perspectives on their surplus and replacement calf care. Producers experienced barriers to calf care including a lack of clarity on best management practices and prioritization of resources to the lactating herd. Motivating factors included feeling morally obligated to their calves, along with societal and industry expectations. Producers who kept their surplus calves longer felt the cost of neonatal care was worthwhile whereas those selling calves at a young age felt frustrated by a lack of compensation for providing good care.Quantitative evidence collected from a survey of dairy producers showed room for increased uptake of best management practices for colostrum and milk feeding for all calves, and that a minority of farms provided discrepant care to surplus calves. Survey respondents suggested surplus calf care improvements would follow financial incentives and feedback from their calf buyer. Additionally, the Code of Practice for the Care and Handling of Dairy Cattle and the guidance of their herd veterinarian would impact adoption of new practices. A cross sectional study evaluating surplus calves at an assembly facility found that 24% of calves had poor serum total protein concentrations (an indicator of immunity), with better results in crossbred beef calves compared to dairy bred calves.Qualitative analysis was used to evaluate how benchmarking can be used to motivate improved calf care. Most farms were anticipating or considering making a change to their calf management following receiving benchmark data on their calves from their herd veterinarian. This was influenced by farm contexts including (1) farm resources (2) calf productivity (3) management strategies and (4) the producer's personal values. Depending on these contexts, benchmarking sparked change through providing resources (illustrative data and veterinary advice) and influencing producer decision making. This work provides guidance for motivating improved calf care on dairy farms.","Wilson, Devon.",Devon Wilson,2023,PhD,other,0.4733104857256385
Guelph,University of Guelph,A New Localism for Newfoundland and Labrador? An Exploratory Study of Rural Local Government Entrepreneurialism.,"The roles and responsibilities of local governments are changing. Historically, the expectation of service delivery was focused on areas such as garbage collection, street paving, snow clearing, as well as drinking water and wastewater services. In more recent time, there has been a downloading of new roles and responsibilities to the local level that has been historically absent, such as generating new opportunities for economic development in their communities. Rural local governments, in particular, experience challenges in meeting these expectations, as they have limited fiscal and human resource capacity compared to urban local governments. The focus of this dissertation is centered on understanding how rural local governments can facilitate economic development in their communities in light of limited capacity and resources to do so. Findings from this doctoral study present a conceptual model, generated through the implementation of a systematic literature review from two databases, to consider when conducting economic development research with local governments. In addition, through conducting and analyzing semi-structured interviews, this study identified various ways that local governments build capacity; namely, through the establishment of key partnerships, entrepreneurial activities were strategically pursued to diversify their economies. These findings are relevant, as it contributes to a gap in literature with respect to economic development research with rural local governments, as well as potential policy and practice implications for rural Newfoundland and Labrador and beyond.","Barrett, Joshua.",Joshua Barrett,2024,PhD,other,0.479070376896066
Guelph,University of Guelph,A New Molecular Simulation Algorithm to Calculate Vapour-Liquid Equilibrium and Its Applications.,"CO2 capture from point sources is an important tool for ameliorating global warming and climate change. Among the many methods for CO2 capture is the use of solvents for reactive absorption. Knowledge of vapor-liquid equilibrium (VLE) properties of the flue-gas in equilibrium with a CO2-loaded solvent is crucial, but experiments to measure these properties are often time-consuming and expensive.We present a novel, computationally efficient algorithm to predict VLE properties using fundamental thermodynamic equations and molecular simulation methodology in the case of a pure fluid. This approach is very general and only requires Monte Carlo (MC) and molecular dynamics (MD) software that can correctly calculate chemical potentials. We also introduce a data smoothing procedure and a general method for calculating uncertainty on simulation results. The algorithm is validated for pure Lennard-Jones fluid and SPC/E water using existing literature results. It is then applied to several anaesthetic gases for which the VLE properties have not been measured. The algorithm can be extended to more complex pure fluids, including ionic liquids, and to mixtures.","Munipalle, Meghana.",Meghana Munipalle,2022,MSc,other,0.19324415998510847
Guelph,University of Guelph,A Novel Hybrid Breaching Solution for Modelling Drainage Patterns in Altered Landscapes Using LiDAR.,"The use of fine-resolution LiDAR DEMs is becoming increasingly commonplace in environmental modelling, and particularly in hydrological modelling. However, the incomplete representation of transportation embankments and their associated drainage infrastructure in fine-resolution LiDAR DEMs of heavily altered landscapes negatively impacts the accuracy of derived terrain and stream network attributes. This research investigates and develops a DEM preprocessing solution to remove the artefact dams caused by the presence of embankments at sites of underpass locations (e.g., culverts, bridges) and enforce flow through subsurface drainage infrastructure and roadside drainage ditches in fine-resolution LiDAR DEMs. Specifically, a novel modified least-cost depression breaching technique was developed to enforce flowpaths through transportation embankments at locations of automatically identified and/or mapped underpasses. The novel breaching technique reduced the number of erroneous breaches across transportation embankments by an average of 92.5% compared to its predecessor algorithm, using commonly available ancillary data.","Owen, Garnet.",Garnet Owen,2023,MSc,other,0.4823467466939978
Guelph,University of Guelph,A Novel Method of Sub-milimeter Range Verification for Hadron Therapy using a Tumour Marker.,Library / Theses Canada,"Kasanda, Eva.",Eva Kasanda,2023,PhD,other,0.08497026613267022
